4.43315e-16,-1.99999e-09,2.99988e-09,400000,-0.000709434,-0.000479583,1.169e-20,8.62,8.62,9.42005,0.351863,-6.00435e-06,0.174877,1.60963,1.02871,5.38857,1.60057,1.03226,5.29993,0.245208,0.950524,0.776004,1.5725,2.06097,0,0.663386,0
4.37782e-16,-1.99999e-09,2.99988e-09,400000,-0.000709235,-0.000479447,1.169e-20,8.62,8.62,10.0656,0.378147,-0.000221843,0.173358,2.47772,1.02862,3.89766,2.44733,1.03353,3.8111,0.173895,0.768945,0.665455,1.51678,2.06215,0,0.588112,0
4.33326e-16,-2.00006e-09,8.5086e-10,399988,-0.000217368,-0.000472887,1.16904e-20,8.6202,8.6202,10.1313,0.390278,0.000948923,0.167011,2.52487,1.03688,3.79999,2.51658,1.03826,3.89507,0.1607,0.722524,0.593419,1.44487,2.07514,0,0.588111,0
4.31729e-16,-1.99999e-09,-2.00012e-09,400000,0.000466643,-0.000473277,1.169e-20,8.62,8.62,10.8282,0.428717,0.000431584,0.162322,3.38643,1.07634,4.14404,3.381,1.07712,4.15608,0.0807594,0.633179,0.547822,1.66903,2.15347,0,0.663386,0
4.31585e-16,-1.99999e-09,-2.00012e-09,400000,0.000466454,-0.000473079,1.169e-20,8.62,8.62,10.615,0.429693,0.00121885,0.151454,2.9967,1.07539,3.32788,3.01783,1.07823,3.51717,0.0989603,0.640337,0.57258,1.1892,2.15361,0,0.663386,0
4.30616e-16,-1.99999e-09,-2.00012e-09,400000,0.000470788,-0.000477536,1.169e-20,8.62,8.62,8.43591,0.253249,2.57692e-05,0.102565,2.74643,0.612888,6.73205,2.72514,0.614824,6.71832,0.572382,0.569415,1.17073,1.35815,1.22771,0,0.588111,0
4.30145e-16,-1.99999e-09,-2.00012e-09,400000,0.000472931,-0.00047974,1.169e-20,8.62,8.62,8.50924,0.362136,-0.000620747,0.0951641,2.87423,0.620668,6.73639,2.85247,0.61554,6.56238,0.442,0.546148,0.811732,1.45146,1.23621,0,0.663386,0
4.43315e-16,-1.99999e-09,2.99988e-09,400000,-0.000709434,-0.000479583,1.169e-20,8.62,8.62,9.42007,0.351869,-5.6093e-06,0.174876,1.60953,1.0287,5.38779,1.60071,1.03226,5.30085,0.245201,0.950524,0.776004,1.5725,2.06096,0,0.663386,0
4.37782e-16,-1.99999e-09,2.99988e-09,400000,-0.000709235,-0.000479447,1.169e-20,8.62,8.62,10.0657,0.378129,-0.000221892,0.173363,2.47747,1.02864,3.89613,2.4471,1.03354,3.8096,0.173912,0.768945,0.665455,1.51671,2.06217,0,0.588112,0
4.32969e-16,-1.99999e-09,-4.38605e-10,400006,7.60312e-05,-0.000470288,1.169e-20,8.62,8.62,10.1314,0.390277,0.000948738,0.167013,2.5249,1.03689,3.79956,2.51656,1.03826,3.8944,0.160694,0.722535,0.593414,1.44484,2.07515,0,0.588111,0
4.21494e-16,-1.99999e-09,-5.00012e-09,400000,0.00116584,-0.000473915,1.169e-20,8.62,8.62,11.0554,0.427957,0.000466469,0.162048,3.64887,1.09844,3.97268,3.64221,1.10083,4.0266,0.0704991,0.623406,0.456632,1.68064,2.19927,0,0.735961,0
4.12638e-16,-1.99999e-09,-5.00012e-09,400000,0.00116537,-0.000473721,1.169e-20,8.62,8.62,10.4107,0.27752,0.000785714,0.160773,3.85844,2,1.13599,3.82546,2,1.1364,0.314788,0.6763,0.471837,1.14063,4,2,0.735961,0
3.55273e-16,-1.99999e-09,-5.00012e-09,400000,0.0011792,-0.000479439,1.169e-20,8.62,8.62,8.64334,0.338417,1.74699e-05,0.132442,2.98318,0.304025,3.14615,3.11938,0.38712,3.81919,0.442572,0.637417,0.804738,1.10315,0.691145,0,0.938071,0
3.28903e-16,-1.99999e-09,-5.00012e-09,400000,0.00118135,-0.000480329,1.169e-20,8.62,8.62,8.89654,0.279231,0.00249093,0.138957,3.50414,0.206431,2.23613,3.90019,0.138943,1.99354,0.475081,1.27316,0.690315,0.857636,0.345374,0,1.06114,0
4.43315e-16,-2e-09,2.99988e-09,400000,-0.000709,-0.00048,1.169e-20,8.62,8.62,9.42006,0.351866,-6.0261e-06,0.174876,1.60967,1.0287,5.38885,1.60059,1.03226,5.3001,0.245204,0.950524,0.776004,1.5725,2.06096,0,0.663386,0
4.37782e-16,-2e-09,2.99988e-09,400000,-0.000709,-0.000479,1.169e-20,8.62,8.62,10.0657,0.378139,-0.000221375,0.173363,2.47745,1.02863,3.89587,2.44722,1.03353,3.80986,0.173897,0.768945,0.665455,1.51671,2.06216,0,0.588112,0
4.31907e-16,-2e-09,-1.73e-09,400043,0.000369005,-0.000468,1.1689e-20,8.61952,8.61952,10.1316,0.390318,0.000948966,0.167008,2.52524,1.03686,3.80071,2.51697,1.03824,3.89586,0.16064,0.722525,0.593418,1.44493,2.0751,0,0.588111,0
4.01976e-16,-2e-09,-8e-09,400000,0.00186298,-0.000475,1.169e-20,8.62,8.62,11.1281,0.406798,0.000586967,0.161747,3.78219,1.14963,3.52245,3.77165,1.15082,3.56554,0.0951087,0.633467,0.432423,1.8934,2.30045,0,0.735961,0
3.7625e-16,-2e-09,-8e-09,400000,0.00186236,-0.000475,1.169e-20,8.62,8.62,9.76076,0.251683,0.00121425,0.101872,2.19238,2,0.975269,2.04531,2,0.925439,0.41575,0.758417,1.23095,0.863684,4,2,0.805869,0
