run,timestep,Shue97_r_0,Shue97_a_0,Shue97_fit_loss,Shue97_grad_J_fit_over_ip,Shue97_delta_r_0,Shue97_time_taken_s,Liu12_r_0,Liu12_a_0,Liu12_a_1,Liu12_a_2,Liu12_d_n,Liu12_l_n,Liu12_s_n,Liu12_d_s,Liu12_l_s,Liu12_s_s,Liu12_fit_loss,Liu12_grad_J_fit_over_ip,Liu12_delta_r_0,Liu12_time_taken_s,Rolland25_r_0,Rolland25_a_0,Rolland25_a_1,Rolland25_a_2,Rolland25_d_n,Rolland25_l_n,Rolland25_s_n,Rolland25_d_s,Rolland25_l_s,Rolland25_s_s,Rolland25_e,Rolland25_fit_loss,Rolland25_grad_J_fit_over_ip,Rolland25_delta_r_0,Rolland25_time_taken_s
5,22500,9.90197,0.641382,1.25262,1.41657,-0.201689,0.0374342,10.6187,0.516749,0.000495835,0.139388,3.57762,1.02729,0.367051,3.58235,1.02972,0.362008,0.447638,1.25223,0.514997,0.735943,10.0335,0.43199,0.00050967,0.144531,2.96685,1.04987,3.97503,2.94777,1.07131,4.1221,0.130817,0.411912,1.27671,-0.0701288,1.24139
5,22800,9.81605,0.642389,1.32103,0.923262,-0.268418,0.0414421,10.5129,0.525614,0.000134007,0.129337,3.56239,0.917308,0.392876,3.51525,0.947061,0.388533,0.596051,1.36178,0.428419,0.739748,9.72319,0.408696,0.000271725,0.134533,2.58966,0.98529,3.63665,2.58343,0.988338,3.64127,0.181645,0.532598,0.808933,-0.361285,1.04463
5,23100,9.77725,0.647594,1.74812,1.49064,0.420338,0.0429212,10.4001,0.539846,-0.00157434,0.126269,4.2708,0.760395,0.345243,4.23079,0.762938,0.353475,0.946538,1.44451,1.04314,0.64361,8.96812,0.303511,-0.00140192,0.124986,2.05338,0.854223,5.03764,1.99984,0.886734,5.07346,0.369328,0.717632,1.09459,-0.388796,1.33291
5,23400,9.47334,0.691137,1.78811,1.74636,0.843965,0.0424143,10.059,0.586088,-0.00175844,0.118254,4.3577,0.637785,0.317914,4.3315,0.640246,0.323912,1.12771,1.48695,1.42959,0.54572,8.48863,0.238459,-0.000925308,0.116285,1.83014,0.691047,5.98297,1.83296,0.694161,5.93815,0.507667,0.779177,1.48764,-0.140746,0.985475
5,23700,9.41623,0.707866,1.85515,1.29789,0.801013,0.0396087,9.99988,0.608924,-0.000448291,0.10655,4.73031,0.630045,0.292944,4.70317,0.63119,0.295627,1.25021,1.29529,1.38466,0.537169,8.39671,0.2,-0.0011472,0.109095,2.12462,0.650119,6.59393,2.08158,0.652098,6.4815,0.575092,0.748938,1.3827,-0.218512,1.80499
5,24000,9.33839,0.726286,1.79638,0.961451,0.755241,0.0418491,9.90612,0.632795,-1.62049e-06,0.0972757,4.64704,0.613809,0.289802,4.68682,0.615915,0.288737,1.28351,1.10993,1.32298,0.482973,8.32742,0.200002,-0.000314936,0.103973,2.0618,0.634833,6.59769,2.10661,0.637055,6.63912,0.595449,0.7668,1.46494,-0.25572,1.6444
5,24300,9.31592,0.73677,1.77197,0.672091,1.4222,0.045826,9.88673,0.643692,-0.000854803,0.0956787,4.86747,0.558712,0.306164,4.82896,0.558062,0.310372,1.28827,0.960789,1.99301,0.449117,8.25719,0.230914,-0.000707403,0.100899,2.2692,0.624228,6.84874,2.2427,0.626625,6.81476,0.579989,0.764821,1.50593,0.363471,1.15328
5,24600,9.31807,0.741473,1.85194,0.574274,1.43552,0.0453288,9.91025,0.649612,0.000887887,0.0906789,5.4149,0.564984,0.290827,5.35176,0.565692,0.292258,1.36852,0.934192,2.0277,0.556637,8.2706,0.256259,0.000875778,0.09852,2.68619,0.604248,6.57767,2.66278,0.607412,6.65454,0.557634,0.868875,1.80548,0.388049,1.04214
5,24900,9.24852,0.749107,2.12643,0.55279,1.36684,0.0481739,9.82993,0.64494,-0.000176426,0.112265,5.84059,0.559734,0.271336,5.81579,0.559549,0.273275,1.5075,0.884633,1.94825,0.476973,8.22075,0.274641,-0.000167311,0.115466,3.01527,0.569998,6.38002,2.98306,0.569888,6.33195,0.534132,1.03617,1.72509,0.339066,0.937415
5,25200,9.2289,0.75704,1.96783,0.508629,1.34777,0.0439702,9.86617,0.642729,0.000111468,0.117977,6,0.549341,0.278016,6,0.550428,0.278166,1.3515,0.84509,1.98504,0.765308,8.26508,0.258949,0.000126499,0.122516,3.47595,0.556116,6.06962,3.43089,0.557563,6.06242,0.545273,0.872222,1.71512,0.383956,1.06733
5,25500,9.27567,0.750112,2.25519,0.479587,1.39487,0.0442437,9.92463,0.634101,0.00182785,0.122101,6,0.540248,0.289468,6,0.541347,0.287326,1.48173,0.829514,2.04383,0.777728,8.27731,0.230897,0.00158225,0.127086,3.64609,0.546319,5.9134,3.63391,0.548448,5.95379,0.5705,0.933938,1.68688,0.396517,1.01084
5,25800,9.29724,0.743366,2.50125,0.463419,1.41707,0.0470397,9.906,0.63139,0.000338733,0.12578,6,0.532385,0.29015,6,0.534096,0.290104,1.56507,0.832901,2.02583,0.782885,8.24386,0.241408,0.000804893,0.125814,3.58456,0.540498,5.88372,3.57468,0.541921,5.90974,0.561748,1.04175,1.63429,0.363686,0.897507
5,26100,9.27624,0.744857,2.51025,0.467761,1.39658,0.0426384,9.89197,0.636611,0.000540688,0.120344,6,0.530363,0.290119,6,0.531855,0.290089,1.61854,0.820886,2.01232,0.759304,8.24323,0.249347,0.00064504,0.124278,3.5681,0.535914,5.747,3.56048,0.537291,5.76727,0.554517,1.11755,1.60578,0.363573,0.885646
5,26400,9.22105,0.750434,2.02559,0.476588,1.34182,0.0461909,9.83713,0.645829,-0.000174509,0.112054,6,0.529836,0.281846,6,0.52969,0.283271,1.26288,0.817892,1.95789,0.726505,8.21086,0.28248,0.000278652,0.118293,3.54608,0.534576,5.85658,3.53342,0.535291,5.85021,0.525794,0.8078,1.54727,0.33162,0.979983
5,26700,9.25846,0.747632,1.84267,0.469005,1.37936,0.0477865,9.85664,0.652824,0.000233743,0.0992874,6,0.529429,0.285137,6,0.530029,0.284689,1.13417,0.817573,1.97754,0.760071,8.20943,0.311455,0.000180108,0.1045,3.67139,0.537798,5.96991,3.67576,0.539022,5.98596,0.505053,0.69922,1.57261,0.330321,0.869812
5,27000,9.25571,0.745155,1.95036,0.472888,1.37663,0.0481697,9.83366,0.649015,-0.000956117,0.104287,6,0.529595,0.280559,6,0.530436,0.281558,1.20256,0.823509,1.95457,0.746699,8.22658,0.340741,-0.000172563,0.107211,3.72624,0.53865,5.95841,3.69308,0.539403,5.95067,0.467594,0.814305,1.59937,0.347492,0.852943
5,27300,9.23678,0.744651,1.84232,0.478454,1.35757,0.0424957,9.80662,0.655665,-0.000238682,0.0938344,6,0.53095,0.274886,6,0.531948,0.27477,1.1646,0.826201,1.92742,0.726258,8.22999,0.369756,-0.000601485,0.0985781,3.69613,0.539665,5.99745,3.6465,0.541138,5.99772,0.439718,0.80465,1.61545,0.350788,0.85554
5,27600,9.24633,0.741648,1.80903,0.484906,1.36699,0.044656,9.79023,0.65943,0.0011777,0.0871721,6,0.532296,0.271068,6,0.534532,0.270063,1.16888,0.836275,1.91089,0.709833,8.24918,0.393942,0.000133838,0.0907015,3.69628,0.540878,6.01266,3.61809,0.543743,5.99952,0.415162,0.838615,1.66378,0.369839,0.873742
5,27900,9.25461,0.737995,1.86122,0.488031,1.37513,0.0408364,9.80767,0.651168,0.00127505,0.0932272,6,0.534506,0.271842,6,0.537414,0.270997,1.184,0.83308,1.92819,0.660538,8.29923,0.393805,0.00020138,0.0971615,3.71424,0.543265,5.87242,3.67601,0.546976,5.89034,0.403253,0.872893,1.70073,0.419749,0.854519
5,28200,9.25622,0.73501,1.82581,0.498376,1.37652,0.0424481,9.79464,0.648535,0.00296305,0.093908,6,0.537351,0.267881,6,0.539021,0.265464,1.16902,0.842041,1.91493,0.680871,8.30714,0.39716,0.00205369,0.0963385,3.7254,0.546711,5.95012,3.66806,0.548855,5.98777,0.39656,0.86803,1.73665,0.427435,1.03204
5,28500,9.35756,0.722614,2.16282,0.465114,1.47755,0.0443043,9.90004,0.63182,0.00141642,0.103586,6,0.536408,0.279473,6,0.538133,0.277923,1.35266,0.813642,2.02003,0.647137,8.33555,0.358152,0.00169397,0.103474,3.78763,0.548654,5.90535,3.70268,0.549912,5.92064,0.428913,0.999622,1.73002,0.455542,1.03682
5,28800,9.38876,0.721454,1.86267,0.458136,1.50866,0.0444838,9.97003,0.633694,0.00139746,0.0914498,6,0.535611,0.285847,6,0.537418,0.285051,1.20415,0.799594,2.08993,0.776416,8.35877,0.33815,0.00105826,0.0928281,3.83744,0.549695,5.89457,3.72696,0.550144,5.86152,0.455227,0.814454,1.73251,0.478671,1.07823
6,18000,9.59508,0.656073,2.20126,1.59782,2.47254,0.041975,10.3064,0.493548,4.99582e-05,0.189865,5.19356,0.240371,0.547036,5.13521,0.229341,0.557357,1.02939,1.72007,3.18382,0.431037,8.49903,0.245362,1.6115e-05,0.190315,0.68583,0.915347,9.48325,3.57571,0.140429,2.36696,0.408422,0.846408,1.57339,1.37649,1.41398
6,18300,9.56002,0.654769,2.16975,1.61712,1.98784,0.0419925,10.2206,0.498485,0.000144756,0.18583,4.17533,0.337328,0.53484,4.05145,0.356405,0.535745,1.00185,1.6928,2.64839,0.456173,8.44773,0.243682,0.000232111,0.186396,0.62653,0.925897,10,1.49553,0.1,2.2753,0.414956,0.809454,1.57081,0.875546,1.50299
6,18600,9.52192,0.655426,2.11065,1.6363,0.891839,0.0445182,10.187,0.50001,0.000443915,0.184261,3.94132,0.453336,0.488519,3.58147,0.473966,0.504724,0.956755,1.61989,1.55691,0.477896,8.61823,0.275613,0.000475372,0.186301,0.878972,0.967373,7.53691,0.867262,0.967927,7.69054,0.364345,0.780517,1.48953,-0.0118456,1.29959
6,18900,9.50157,0.655208,2.03597,1.65131,0.892319,0.040734,10.1612,0.505017,0.000121999,0.177213,3.85834,0.461304,0.482544,3.62257,0.462272,0.501341,0.927365,1.59181,1.55199,0.512886,8.55744,0.261461,0.000204074,0.180228,0.812185,0.981382,8.04242,0.792137,0.984337,7.95655,0.389018,0.729246,1.47929,-0.0518058,1.04692
